id	user	by	timestamp	expiry	duration-l10n	reason	nocreate	autoblock	noemail	allowusertalk	anononly	partial	wiki
28036	49.15.195.199	TheWikiholic	2022-12-13T16:04:41Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27979	14.139.185.120	Kiran Gopi	2022-03-08T15:36:38Z	infinity	അനിശ്ചിത കാലം								mlwiki
27958	117.216.34.115	Vijayanrajapuram	2021-11-15T15:53:44Z	infinity	അനിശ്ചിത കാലം	മാന്യമല്ലാത്ത പെരുമാറ്റം: സി.വി. ബാലകൃഷ്ണൻ താളിൽ അശ്ലീലം ചേർത്തത്							mlwiki
27955	2409:4073:11E:F3E3:C35D:40AF:ADFF:A3D9	Kiran Gopi	2021-10-19T19:14:57Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം							mlwiki
27926	2401:4900:332F:AA3A:0:6E:F571:FC01	Ajeeshkumar4u	2021-08-09T05:40:59Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27922	2402:8100:281A:1F17:0:0:0:1	Ajeeshkumar4u	2021-08-05T12:34:04Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27921	2402:8100:3901:D96F:0:0:0:1	Ajeeshkumar4u	2021-08-05T12:27:10Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27920	2402:8100:3900:A8D7:0:0:0:1	Ajeeshkumar4u	2021-07-30T10:27:48Z	infinity	അനിശ്ചിത കാലം	അനാവശ്യം/അസംബന്ധം താളിലേക്കു ചേർക്കൽ							mlwiki
27906	2409:4071:2281:E108:738E:1B0E:60B:8FC8	Vijayanrajapuram	2021-06-28T17:40:45Z	infinity	അനിശ്ചിത കാലം	നശീകരണ പ്രവർത്തനം: വൈക്കം മുഹമ്മദ് ബഷീർ താളിൽ അസഭ്യം ചേർത്തതിനും നശീകരണം നടത്തിയതിനും							mlwiki
27885	2409:4073:106:F50:8254:3C20:F7F6:3B7C	TheWikiholic	2021-04-15T09:49:36Z	infinity	അനിശ്ചിത കാലം	മാന്യമല്ലാത്ത പെരുമാറ്റം							mlwiki
