edit_month	edit_tool	edit_count
2023-11	visualeditor	1
2023-11	wikitext	0
2023-12	contenttranslation	5
2023-12	sectiontranslation	2
2023-12	visualeditor	9
2023-12	wikitext	0
2024-01	contenttranslation	0
2024-01	sectiontranslation	0
2024-01	visualeditor	1
2024-01	wikitext	0
2024-02	contenttranslation	12
2024-02	sectiontranslation	5
2024-02	visualeditor	7
2024-02	wikitext	0
2024-03	contenttranslation	6
2024-03	sectiontranslation	0
2024-03	visualeditor	41
2024-03	wikitext	0
2024-04	contenttranslation	1
2024-04	sectiontranslation	0
2024-04	visualeditor	15
2024-04	wikitext	0
2024-05	contenttranslation	0
2024-05	sectiontranslation	0
2024-05	visualeditor	8
2024-05	wikitext	0
2024-06	contenttranslation	0
2024-06	sectiontranslation	0
2024-06	visualeditor	34
2024-06	wikitext	0
2024-07	contenttranslation	0
2024-07	sectiontranslation	0
2024-07	visualeditor	74
2024-07	wikitext	0
2024-08	contenttranslation	0
2024-08	sectiontranslation	0
2024-08	visualeditor	63
2024-08	wikitext	0
2024-09	contenttranslation	0
2024-09	sectiontranslation	0
2024-09	visualeditor	18
2024-09	wikitext	0
2024-10	contenttranslation	1
2024-10	sectiontranslation	0
2024-10	visualeditor	27
2024-10	wikitext	0
2024-11	contenttranslation	0
2024-11	sectiontranslation	0
2024-11	visualeditor	21
2024-11	wikitext	0
2024-12	contenttranslation	0
2024-12	sectiontranslation	0
2024-12	visualeditor	15
2024-12	wikitext	0
2025-01	contenttranslation	1
2025-01	sectiontranslation	0
2025-01	visualeditor	22
2025-01	wikitext	0
2025-02	contenttranslation	1
2025-02	sectiontranslation	0
2025-02	visualeditor	8
2025-02	wikitext	0
2025-03	contenttranslation	2
2025-03	sectiontranslation	0
2025-03	visualeditor	23
2025-03	wikitext	0
2025-04	contenttranslation	0
2025-04	sectiontranslation	0
2025-04	visualeditor	66
2025-04	wikitext	0
2025-05	contenttranslation	0
2025-05	sectiontranslation	0
2025-05	visualeditor	14
2025-05	wikitext	0
2025-06	contenttranslation	0
2025-06	sectiontranslation	0
2025-06	visualeditor	2
2025-06	wikitext	0
2025-07	contenttranslation	3
