edit_month	page_id	page_title	edit_count
2017-03	1143	Īrāna	1
2017-03	15727	Dragon_Ball_Z	1
2017-04	15761	Šiprage	5
2017-04	15757	Kim_Il-sung	3
2017-04	1590	Initonīhia	2
2017-04	585	Reo_Māori	2
2017-04	13759	Reo_Hapani	2
2017-04	14754	Rōpū_Nāhinara_o_Aotearoa	2
2017-04	13328	Sarajevo	1
2017-04	4810	Arapama	1
2017-04	12195	Reo_Arakona	1
2017-04	14848	Sergio_Mattarella	1
2017-05	1035	Wairarapa	4
2017-05	15761	Šiprage	4
2017-05	10670	Rangiwhakaoma	3
2017-05	15774	Baskin-Robbins	2
2017-05	14596	Bukan	2
2017-05	15772	Nokoreach	2
2017-05	15773	Natalia_Korolewa	2
2017-05	13672	Āhia	1
2017-05	13217	Makerōnia	1
2017-05	15769	Eketāhuna	1
2017-06	14302	Alexander_Nikolayevich_Samokhvalov	5
2017-06	15761	Šiprage	4
2017-06	15779	Reo_Kurutānga	4
2017-06	1114	Nipono	3
2017-06	15776	Ketisí	3
2017-06	6439	Ngāti_Wehiwehi_(Ngāti_Raukawa)	2
2017-06	13209	Parī	2
2017-06	12256	Wīwī	2
2017-06	15777	Kurutānga	2
2017-06	5010	Aiowa	1
2017-07	15263	Ao-o-Kiwa	3
2017-07	665	Aotearoa	3
2017-07	15761	Šiprage	3
2017-07	675	Ōtepoti	3
2017-07	15844	Michael_Jackson	3
2017-07	657	Tāmaki-makau-rau	3
2017-07	4608	Tauranga-moana	2
2017-07	2771	Irihāpeti_te_Tuarua	2
2017-07	13263	Minsk	2
2017-07	985	Rārangi_iwi	2
2017-08	13204	Arapeinia	3
2017-08	15850	Pizza_Hut	3
2017-08	15851	Carl's_Jr.	2
2017-08	14738	Iharaira	2
2017-08	6321	Ngāti_Te_Oro_(Ngāti_Hauā)	2
2017-08	13309	Tapurini	1
2017-08	15846	Christina_Aguilera	1
2017-08	13445	Francesco_Melzi	1
2017-08	13224	Hēwia	1
2017-08	1115	Rōpū_Reipa_o_Aotearoa	1
2017-09	15859	Layal_Abboud	4
2017-09	7943	Te_Patukirikiri	4
2017-09	4753	Pīpīwharauroa	2
2017-09	15761	Šiprage	1
2017-09	12915	Hononga-o-Amerika	1
2017-09	13131	Euro	1
2017-09	2472	Katarōnia	1
2017-09	15864	Kāna	1
2017-09	14020	Anakora	1
2017-09	15865	Disney_Channel	1
2017-10	665	Aotearoa	2
2017-10	15873	Jacinda_Ardern	2
2017-10	6507	Ngāti_Pareteata_(Ngāti_Rārua)	2
2017-10	1115	Rōpū_Reipa_o_Aotearoa	2
2017-10	15869	Kelvin_Davis	2
2017-10	1110	Mema_Pāremata_o_Aotearoa	1
2017-10	15871	Ngāti_Kairarunga	1
2017-10	15870	Ngāti_Paretona	1
2017-10	14754	Rōpū_Nāhinara_o_Aotearoa	1
2017-10	13426	Atāna	1
2017-11	4524	Kōtirana	7
2017-11	13320	Rānana	3
2017-11	1849	Ingarangi	3
2017-11	13269	Mohikau	3
2017-11	1033	Kīngitanga_Kotahi	3
2017-11	12597	Ngāti_Meroiti	2
2017-11	6218	Ngāti_Putaanga	2
2017-11	13695	Piene_Hoa	2
2017-11	4525	Wēra	2
2017-11	13300	Tallinn	1
2017-12	13181	Pōrana	13
2017-12	15865	Disney_Channel	3
2017-12	13381	Whiena	2
2017-12	13228	Ateria	2
2017-12	12285	Itāria	2
2017-12	15888	Tukumanatānga	2
2017-12	5010	Aiowa	1
2017-12	5066	Rōeihīana	1
2017-12	13539	Takiwā_o_Koromōpia	1
2017-12	13204	Arapeinia	1
2018-01	6076	Te_Pohotiare	4
2018-01	1124	Hongipua	3
2018-01	13320	Rānana	2
2018-01	13873	Pakitāne	2
2018-01	15779	Reo_Kurutānga	2
2018-01	15733	Abir	2
2018-01	15873	Jacinda_Ardern	1
2018-01	15669	Three	1
2018-01	13541	Pohotone	1
2018-01	13174	Etonia	1
2018-02	15669	Three	2
2018-02	662	Tiriti_o_Waitangi	2
2018-02	7040	1906	1
2018-02	6925	1783	1
2018-02	10899	Huntingdon	1
2018-02	7044	1910	1
2018-02	13264	Pakangakite	1
2018-02	4724	Huia	1
2018-02	6922	1780	1
2018-02	6895	1751	1
2018-03	6529	Ngāti_Tamaterā	5
2018-03	3270	Hōne_Heke	4
2018-03	8240	Ngāti_Haupoto	3
2018-03	6534	Ngāti_Tahinga	3
2018-03	7943	Te_Patukirikiri	3
2018-03	15761	Šiprage	2
2018-03	2771	Irihāpeti_te_Tuarua	2
2018-03	14055	Hiri	2
2018-03	665	Aotearoa	2
2018-03	12935	Ngāti_Maru	2
2018-04	4948	Matuku_tai	2
2018-04	10185	Mangapehi	1
2018-04	13718	Vantaa	1
2018-04	1967	Matariki	1
2018-04	15904	Natalia_Oreiro	1
2018-04	13782	Tangerang	1
2018-04	14243	Curitiba	1
2018-04	15865	Disney_Channel	1
2018-05	4680	Hāmiora_Mangakāhia	4
2018-05	9498	Taringamotu	4
2018-05	10191	Porootarao	3
2018-05	8815	Rangiahua	3
2018-05	5991	Ngāti_Toki_(Ngā_Puhi)	2
2018-05	11128	Glenorchy	2
2018-05	13028	Tāra_o_Hononga-o-Amerika	2
2018-05	4880	Hoiho	2
2018-05	10943	Kowai_Bush	2
2018-05	2671	Murihiku	2
2018-06	15916	Edirne	11
2018-06	15915	Monte_Águila_(Hiri)	3
2018-06	1548	Pāniora	3
2018-06	12915	Hononga-o-Amerika	2
2018-06	12997	Whenua	2
2018-06	3631	Ihu_Karaiti	2
2018-06	1028	Fabaceae	2
2018-06	13314	Riga	1
2018-06	12195	Reo_Arakona	1
2018-06	13588	Kristiansand	1
2018-07	9226	Nga_Taikorapa	2
2018-08	15921	Mandiraja	9
2018-08	15922	Ghil'ad_Zuckermann	9
2018-08	988	Witi_Ihimaera	2
2018-08	15923	Hiruharama_(Iharaira)	2
2018-08	1590	Initonīhia	2
2018-08	14735	University_Hiperu_o_Hiruharama	2
2018-08	15735	City_o_Rawiri	1
2018-08	14736	National_Library_o_Iharaira	1
2018-08	14020	Anakora	1
2018-08	4851	Arerona	1
2018-09	13434	Reo_Wīwī	3
2018-09	8045	Ngāti_Kurapoto	2
2018-09	10732	Whāngaimoana	2
2018-09	3834	Kuki_Airani	2
2018-09	979	Ture_Reo_Māori_1987	1
2018-09	15927	Jonas_Erik_Altberg	1
2018-09	13672	Āhia	1
2018-09	2478	Te_Wiki_o_te_Reo_Māori	1
2018-09	14754	Rōpū_Nāhinara_o_Aotearoa	1
2018-09	15926	Basshunter	1
2018-10	6440	Ngāti_Wehiwehi_(Ngāti_Raukawa_ki_Waikato)	6
2018-10	665	Aotearoa	4
2018-10	13241	Tākei	4
2018-10	6518	Ngāti_Ruru_(Ngāti_Māhanga)	2
2018-10	12999	Pāuna	2
2018-10	15926	Basshunter	2
2018-10	6441	Ngāti_Wehiwehi_(Ngāti_Raukawa_ki_te_tonga)	1
2018-10	1588	Whitināmu	1
2018-10	13449	Yerevan	1
2018-10	5842	Huitene	1
2018-11	14994	Mickey_Mouse	13
2018-11	13647	Shenzhen	4
2018-11	15944	Offenbach	3
2018-11	13646	Guangzhou	3
2018-11	6502	Ngāti_Reko_(Ngāti_Mahuta)	2
2018-11	1143	Īrāna	2
2018-11	1548	Pāniora	2
2018-11	1110	Mema_Pāremata_o_Aotearoa	2
2018-11	13224	Hēwia	2
2018-11	657	Tāmaki-makau-rau	2
2018-12	14029	Parīhi	2
2018-12	15946	Pūrangapū_ā-motu_(Parīhi)	2
2018-12	13526	Mēhiko	1
2018-12	8357	Te_Whānau-a-Te_Paeururangi	1
2018-12	13200	Tīekia	1
2018-12	13325	Tirana	1
2019-01	1124	Hongipua	2
2019-01	14075	Rima	2
2019-01	13200	Tīekia	2
2019-01	1143	Īrāna	2
2019-01	13234	Atepaihānia	2
2019-01	5654	Poronai	2
2019-01	14048	Rio_de_Janeiro	1
2019-01	4878	Hākoakoa	1
2019-02	662	Tiriti_o_Waitangi	2
2019-02	14998	Te_Reo_Tātaki_o_Aotearoa	2
2019-02	9268	Whatipu	2
2019-02	14075	Rima	2
2019-02	4491	E_Ihowa_Atua	2
2019-02	13308	Reykjavik	1
2019-02	13217	Makerōnia	1
2019-02	7114	1984	1
2019-02	1115	Rōpū_Reipa_o_Aotearoa	1
2019-02	15955	Mediacorp	1
2019-03	13173	Nōwei	85
2019-03	4975	Kōtuku	2
2019-03	1547	Kāmaka	2
2019-03	14087	La_Paz,_Poriwia	2
2019-03	1033	Kīngitanga_Kotahi	2
2019-03	6549	Ngāti_Wairere	2
2019-03	13825	Jan_Matejko	1
2019-03	12601	Ngāti_Kere	1
2019-03	12995	Tāra	1
2019-03	1144	Ahitereiria	1
2019-04	11414	Kuri_Bush	4
2019-04	14045	Brasília	4
2019-04	13434	Reo_Wīwī	3
2019-04	13192	George_Washington	2
2019-04	2650	Nga_Kaiwhakaatu_o_Ihowa	1
2019-04	15926	Basshunter	1
2019-04	13188	Horowākia	1
2019-04	1114	Nipono	1
2019-04	15741	Ferdinand_Marcos	1
2019-05	15966	Naruhito	12
2019-05	6441	Ngāti_Wehiwehi_(Ngāti_Raukawa_ki_te_tonga)	6
2019-05	1548	Pāniora	2
2019-05	1157	Reo_Pākehā	2
2019-05	13961	Reo_Penekara	2
2019-05	13300	Tallinn	1
2019-05	13174	Etonia	1
2019-05	13883	Gujranwala	1
2019-05	13758	Sariwon	1
2019-05	13882	Hyderabad_(Pakistan)	1
2019-06	3275	Tainui	2
2019-06	13264	Pakangakite	2
2019-06	984	Apirana_Ngata	2
2019-06	15029	Āhia-ki-te-Rāwhiti	2
2019-06	12984	Kotahitanga_o_Ūropi	1
2019-06	15524	Rārangi_whenua_ā-taupori	1
2019-06	3731	Hoani_Nahe	1
2019-06	15969	Ngāti_Tarāwhai	1
2019-06	14023	Huambo	1
2019-06	12427	Potukara	1
2019-07	15972	Koromōpia	5
2019-07	6534	Ngāti_Tahinga	4
2019-07	15973	Pokata	3
2019-07	13264	Pakangakite	2
2019-07	6248	Te_Whānau-a-Ruataupare	2
2019-07	15915	Monte_Águila_(Hiri)	2
2019-07	14068	Guayaquil	2
2019-07	8171	Aotea_(waka)	2
2019-07	5000	Pūkeko	1
2019-07	14071	Cuenca,_Ekuatoa	1
2019-08	665	Aotearoa	2
2019-08	11958	Ngātīmoti	2
2019-08	8924	Hūkerenui	2
2019-08	15916	Edirne	2
2019-08	9795	Ngongotahā_Valley	2
2019-08	5604	Aute	1
2019-08	15985	Ngatimoti	1
2019-08	13530	Ngā_Ānahera	1
2019-08	15986	Ngongotaha_Valley	1
2019-08	15984	Hukerenui	1
2019-09	1403	Rotorua-nui-a-Kahumatamomoe	6
2019-09	1033	Kīngitanga_Kotahi	2
2019-09	15994	Mongōro	2
2019-09	14029	Parīhi	1
2019-09	13269	Mohikau	1
2019-09	4022	Rotorua	1
2019-09	13177	Moutere_Whāro	1
2019-09	15991	Marek_Sobola	1
2019-09	2637	Rotorua_Moana	1
2019-09	15989	Rotorua-nui-a-Kahu	1
2019-10	1932	Kāpene_Kuki	3
2019-10	13241	Tākei	2
2019-10	6073	Ngāti_Kaha	2
2019-10	9642	Hirata	2
2019-10	1114	Nipono	1
2019-10	12984	Kotahitanga_o_Ūropi	1
2019-10	13449	Yerevan	1
2019-11	13548	Motokā	4
2019-11	13258	Budapest	2
2019-11	2483	Wikipedia	2
2019-11	15713	Teresa_Teng	2
2019-11	13240	Katatānga	2
2019-11	6095	Ngāi_Tahu_Matawhaiti	2
2019-11	15757	Kim_Il-sung	2
2019-11	13838	Petaling_Jaya	1
2019-11	13828	Marēhia	1
2019-11	1590	Initonīhia	1
2019-12	16011	Hairy_Maclary_and_Friends	11
2019-12	16012	Lynley_Dodd	7
2019-12	12130	Ngāti_Te_Ao_(Muaupoko)	5
2019-12	16014	Margaret_Mahy	5
2019-12	16015	Kapu_Intercontinental	4
2019-12	16013	Patsy_Reddy	4
2019-12	13333	Skopje	1
2019-12	13356	Belgrade	1
2019-12	13269	Mohikau	1
2019-12	13426	Atāna	1
2020-01	10722	Mākara	3
2020-01	12984	Kotahitanga_o_Ūropi	3
2020-01	10662	Ōtaki_Forks	2
2020-01	9704	Matatā	2
2020-01	9516	Kūaotunu	2
2020-01	9280	Āwhitu_Central	2
2020-01	9275	Āwhitu	2
2020-01	16015	Kapu_Intercontinental	2
2020-01	8867	Mōkau	2
2020-01	6429	Ngāti_Tūranga	2
2020-02	15921	Mandiraja	6
2020-02	9075	Tokatoka	4
2020-02	8920	Ōtaua	3
2020-02	6477	Ngāti_Rora	3
2020-02	12984	Kotahitanga_o_Ūropi	3
2020-02	4605	Tai-tokerau	2
2020-02	10660	Rangitūmau	2
2020-02	11953	Pōhara	2
2020-02	994	Ngā_Puhi	2
2020-02	9938	Tōrere	2
2020-03	15921	Mandiraja	7
2020-03	13173	Nōwei	6
2020-03	13160	Whinirana	4
2020-03	13183	Aaland_(Whinirana)	3
2020-03	13476	Turku	3
2020-03	13701	Reo_Whinirana	3
2020-03	16075	Poihākena	3
2020-03	8703	Taupō_Bay	3
2020-03	14929	Ānāra	2
2020-03	1849	Ingarangi	2
2020-04	585	Reo_Māori	2
2020-04	15922	Ghil'ad_Zuckermann	2
2020-04	662	Tiriti_o_Waitangi	2
2020-04	1114	Nipono	2
2020-04	4525	Wēra	1
2020-04	16090	KOWHEORI-19	1
2020-04	14031	Āketina	1
2020-04	13159	Carl_Larsson	1
2020-04	13449	Yerevan	1
2020-04	12427	Potukara	1
2020-05	11060	Ōhinetahi	2
2020-05	16111	Te_Kawerau	2
2020-05	16101	Veliko_Tarnovo	2
2020-05	16102	Ohinetahi	1
2020-05	15926	Basshunter	1
2020-05	4525	Wēra	1
2020-05	13267	Sofia	1
2020-05	15923	Hiruharama_(Iharaira)	1
2020-05	12039	Claverley	1
2020-05	11053	Allandale_(Horomaka)	1
2020-06	16120	George_W._Bush	3
2020-06	15921	Mandiraja	3
2020-06	13540	Barack_Obama	2
2020-06	13672	Āhia	2
2020-06	11993	Māriri	2
2020-06	15992	Reo_Hainamana	2
2020-06	13307	Albrecht_Dürer	1
2020-06	5668	Rārangi_ingoa_huaota	1
2020-06	1034	Ngāti_Tūwharetoa	1
2020-06	13971	Āwhekenetāna	1
2020-07	657	Tāmaki-makau-rau	3
2020-07	13582	Fredrikstad	2
